"Any Method","Any Method"
"Shipping Method","Shipping Method"
Country,Country
"Days to Deliver","Days to Deliver"
"Add Delivery Time Rule","Add Delivery Time Rule"
"Bottom Right","Bottom Right"
"Bottom Left","Bottom Left"
"User Environment Defined","User Environment Defined"
"Center Dialog","Center Dialog"
"Bottom Right Dialog","Bottom Right Dialog"
"Bottom Left Dialog","Bottom Left Dialog"
"Top Right Dialog","Top Right Dialog"
"Top Left Dialog","Top Left Dialog"
"Bottom Tray","Bottom Tray"
Add,Add
"Add after","Add after"
Delete,Delete
"Select Options","Select Options"
"Google Customer Reviews","Google Customer Reviews"
"General Settings","General Settings"
"<span style=""color:#e44"">Enable Google Customer Reviews</span>","<span style=""color:#e44"">Enable Google Customer Reviews</span>"
"Merchant ID","Merchant ID"
"From Google Merchant Center.","From Google Merchant Center."
"Default Estimated Delivery Time","Default Estimated Delivery Time"
"In days.","In days."
"Custom Delivery Time Rules","Custom Delivery Time Rules"
"Specific carrier values have higher priority than defaults","Specific carrier values have higher priority than defaults"
"Survey Settings","Survey Settings"
"Offer to all customer groups","Offer to all customer groups"
"Customer groups offered to take a survey","Customer groups offered to take a survey"
"A survey offering will be disabled if no group is selected.","A survey offering will be disabled if no group is selected."
"Survey Style","Survey Style"
"Survey Language","Survey Language"
"Badge Settings","Badge Settings"
"Enable Badge","Enable Badge"
"Badge Position","Badge Position"
"Badge Language","Badge Language"
